ship_id,year,note
franklin,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
hazard,1803,"Bancroft HoC II narrates this vessel in 1803 (San Juan Capistrano, Santa Bárbara); 3 mention(s)"
hazard,1804,"Bancroft HoC II narrates this vessel in 1804 (Monterey, San Diego, San Francisco, San Juan Capistrano); 7 mention(s)"
isaac todd,1814,Bancroft HoC II narrates this vessel in 1814 (Monterey); 2 mention(s)
isabel,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
isabel,1833,Bancroft HoC II narrates this vessel in 1833; 2 mention(s)
john begg,1822,Bancroft HoC II narrates this vessel in 1822 (San Francisco); 3 mention(s)
john begg,1823,Bancroft HoC II narrates this vessel in 1823 (San Diego); 1 mention(s)
juno-rac,1806,"Bancroft HoC II narrates this vessel in 1806 (San Francisco, Sitka); 4 mention(s)"
karimoko,1828,Bancroft HoC II narrates this vessel in 1828; 1 mention(s)
lelia byrd,1803,"Bancroft HoC II narrates this vessel in 1803 (San Diego, San Francisco); 2 mention(s)"
lelia byrd,1804,Bancroft HoC II narrates this vessel in 1804 (Monterey); 2 mention(s)
lelia byrd,1805,Bancroft HoC II narrates this vessel in 1805 (San Diego); 1 mention(s)
leonor,1836,Bancroft HoC II narrates this vessel in 1836; 1 mention(s)
louisa,1831,Bancroft HoC II narrates this vessel in 1831; 1 mention(s)
lydia,1816,"Bancroft HoC II narrates this vessel in 1816 (Refugio, Santa Bárbara, Sitka); 9 mention(s)"
maria,1814,"Bancroft HoC II narrates this vessel in 1814 (Loreto, San Francisco); 3 mention(s)"
maria,1834,"Bancroft HoC II narrates this vessel in 1834 (Refugio, San Francisco); 13 mention(s)"
maria ester,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
maria ester,1830,Bancroft HoC II narrates this vessel in 1830; 1 mention(s)
mariquita,1833,Bancroft HoC II narrates this vessel in 1833; 1 mention(s)
massachusetts,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
mentor,1823,Bancroft HoC II narrates this vessel in 1823 (Sitka); 1 mention(s)
mentor,1824,Bancroft HoC II narrates this vessel in 1824 (Monterey); 1 mention(s)
mercedes,1801,Bancroft HoC II narrates this vessel in 1801 (Trinidad); 1 mention(s)
mercury,1808,Bancroft HoC II narrates this vessel in 1808 (Trinidad); 2 mention(s)
mercury,1813,"Bancroft HoC II narrates this vessel in 1813 (Monterey, Santa Bárbara); 6 mention(s)"
mercury,1814,Bancroft HoC II narrates this vessel in 1814; 1 mention(s)
mercury,1815,"Bancroft HoC II narrates this vessel in 1815 (San Francisco, San Pedro); 3 mention(s)"
mercury,1816,Bancroft HoC II narrates this vessel in 1816 (San Francisco); 1 mention(s)
merope,1825,Bancroft HoC II narrates this vessel in 1825; 1 mention(s)
mexicana,1794,"Bancroft HoC I narrates this vessel in 1794 (Bodega, San Francisco); 3 mention(s)"
morelos,1834,Bancroft HoC II narrates this vessel in 1834; 1 mention(s)
natalia,1834,Bancroft HoC II narrates this vessel in 1834; 1 mention(s)
nicolas,1840,Bancroft HoC II narrates this vessel in 1840; 1 mention(s)
ninfa,1840,Bancroft HoC II narrates this vessel in 1840; 1 mention(s)
o'cain,1806,"Bancroft HoC II narrates this vessel in 1806 (Bodega, San Blas, San Diego, Santa Bárbara, Trinidad); 7 mention(s)"
ontario,1822,Bancroft HoC II narrates this vessel in 1822 (Monterey); 2 mention(s)
orcasitas,1803,Bancroft HoC II narrates this vessel in 1803; 1 mention(s)
orion,1827,Bancroft HoC II narrates this vessel in 1827; 1 mention(s)
otter,1796,"Bancroft HoC I narrates this vessel in 1796 (Monterey, San Francisco); 4 mention(s)"
panther,1822,Bancroft HoC II narrates this vessel in 1822 (Monterey); 2 mention(s)
paz y religion,1815,Bancroft HoC II narrates this vessel in 1815 (Monterey); 2 mention(s)
paz y religion,1817,Bancroft HoC II narrates this vessel in 1817 (Monterey); 1 mention(s)
peacock,1806,"Bancroft HoC II narrates this vessel in 1806 (Refugio, San Diego, San Juan Capistrano, Santa Bárbara); 7 mention(s)"
pedler,1814,"Bancroft HoC II narrates this vessel in 1814 (San Francisco, Santa Bárbara); 5 mention(s)"
pedler,1815,Bancroft HoC II narrates this vessel in 1815; 1 mention(s)
portsmouth,1847,Bancroft HoC II narrates this vessel in 1847; 2 mention(s)
princesa,1779,Bancroft HoC I narrates this vessel in 1779; 1 mention(s)
princesa,1782,Bancroft HoC I narrates this vessel in 1782 (Monterey); 1 mention(s)
princesa,1784,"Bancroft HoC I narrates this vessel in 1784 (Monterey, San Francisco); 2 mention(s)"
princesa,1786,Bancroft HoC I narrates this vessel in 1786; 1 mention(s)
princesa,1788,Bancroft HoC I narrates this vessel in 1788 (Monterey); 1 mention(s)
princesa,1794,Bancroft HoC I narrates this vessel in 1794 (Monterey); 1 mention(s)
princesa,1797,Bancroft HoC I narrates this vessel in 1797; 1 mention(s)
princesa,1798,"Bancroft HoC I narrates this vessel in 1798 (Monterey, San Diego); 3 mention(s)"
princesa,1799,Bancroft HoC I narrates this vessel in 1799 (Monterey); 2 mention(s)
princesa,1804,Bancroft HoC II narrates this vessel in 1804 (San Diego); 1 mention(s)
princesa,1806,"Bancroft HoC II narrates this vessel in 1806 (Monterey, San Diego); 2 mention(s)"
princesa,1809,Bancroft HoC II narrates this vessel in 1809; 1 mention(s)
princesa,1810,Bancroft HoC II narrates this vessel in 1810 (Monterey); 1 mention(s)
reina de los angeles,1819,Bancroft HoC II narrates this vessel in 1819 (Monterey); 1 mention(s)
reina de los angeles,1820,Bancroft HoC II narrates this vessel in 1820; 1 mention(s)
reina de los angeles,1821,Bancroft HoC II narrates this vessel in 1821 (San Pedro); 1 mention(s)
revolucion,1799,Bancroft HoC I narrates this vessel in 1799 (Monterey); 1 mention(s)
rosalind,1841,Bancroft HoC II narrates this vessel in 1841; 1 mention(s)
rover,1823,Bancroft HoC II narrates this vessel in 1823 (Santa Bárbara); 4 mention(s)
rover,1824,"Bancroft HoC II narrates this vessel in 1824 (Bodega, San Francisco); 5 mention(s)"
rover,1826,Bancroft HoC II narrates this vessel in 1826 (Monterey); 1 mention(s)
royal george,1824,Bancroft HoC II narrates this vessel in 1824 (San Francisco); 1 mention(s)
rurik,1815,Bancroft HoC II narrates this vessel in 1815; 2 mention(s)
rurik,1816,Bancroft HoC II narrates this vessel in 1816 (San Francisco); 1 mention(s)
rurik,1824,Bancroft HoC II narrates this vessel in 1824; 1 mention(s)
sachem,1822,Bancroft HoC II narrates this vessel in 1822 (San Pedro); 3 mention(s)
san antonio,1772,Bancroft HoC I narrates this vessel in 1772 (Monterey); 2 mention(s)
san antonio,1817,Bancroft HoC II narrates this vessel in 1817 (Monterey); 1 mention(s)
san carlos,1769,"Bancroft HoC I narrates this vessel in 1769 (Monterey, San Diego); 2 mention(s)"
san carlos,1772,Bancroft HoC I narrates this vessel in 1772 (San Diego); 2 mention(s)
san carlos,1778,Bancroft HoC I narrates this vessel in 1778 (San Diego); 1 mention(s)
san carlos,1787,Bancroft HoC I narrates this vessel in 1787 (Monterey); 1 mention(s)
san carlos,1790,Bancroft HoC I narrates this vessel in 1790; 1 mention(s)
san carlos,1791,Bancroft HoC I narrates this vessel in 1791 (Santa Bárbara); 1 mention(s)
san carlos,1792,Bancroft HoC I narrates this vessel in 1792 (Monterey); 1 mention(s)
san carlos,1795,Bancroft HoC I narrates this vessel in 1795 (Monterey); 1 mention(s)
san carlos,1797,"Bancroft HoC I narrates this vessel in 1797 (Monterey, San Francisco); 2 mention(s)"
san carlos,1798,Bancroft HoC I narrates this vessel in 1798; 1 mention(s)
san carlos,1808,Bancroft HoC II narrates this vessel in 1808 (San Diego); 1 mention(s)
san carlos,1816,Bancroft HoC II narrates this vessel in 1816 (Monterey); 1 mention(s)
san carlos,1819,Bancroft HoC II narrates this vessel in 1819 (Monterey); 1 mention(s)
san carlos,1820,Bancroft HoC II narrates this vessel in 1820; 2 mention(s)
san carlos,1822,Bancroft HoC II narrates this vessel in 1822 (Monterey); 1 mention(s)
san francisco,1797,Bancroft HoC I narrates this vessel in 1797 (San Francisco); 2 mention(s)
san francisco,1820,Bancroft HoC II narrates this vessel in 1820 (San Francisco); 5 mention(s)
san francisco,1827,Bancroft HoC II narrates this vessel in 1827 (San Francisco); 1 mention(s)
san francisco javier,1820,Bancroft HoC II narrates this vessel in 1820 (San Francisco); 1 mention(s)
san francisco javier,1821,Bancroft HoC II narrates this vessel in 1821 (San Francisco); 1 mention(s)
san joaquin,1805,Bancroft HoC II narrates this vessel in 1805; 2 mention(s)
san jose,1779,"Bancroft HoC I narrates this vessel in 1779 (Monterey, San Diego); 2 mention(s)"
san jose,1786,Bancroft HoC I narrates this vessel in 1786; 1 mention(s)
santa barbara,1777,Bancroft HoC I narrates this vessel in 1777 (Santa Bárbara); 2 mention(s)
santa barbara,1791,Bancroft HoC I narrates this vessel in 1791 (Santa Bárbara); 1 mention(s)
santa barbara,1827,Bancroft HoC II narrates this vessel in 1827 (Santa Bárbara); 1 mention(s)
santiago,1777,"Bancroft HoC I narrates this vessel in 1777 (Monterey, San Diego); 2 mention(s)"
santiago,1778,Bancroft HoC I narrates this vessel in 1778 (San Diego); 1 mention(s)
saturnina,1794,Bancroft HoC I narrates this vessel in 1794; 1 mention(s)
senoriano,1821,Bancroft HoC II narrates this vessel in 1821 (Sitka); 1 mention(s)
sonora,1775,Bancroft HoC II narrates this vessel in 1775 (Bodega); 1 mention(s)
sta barbara,1829,Bancroft HoC II narrates this vessel in 1829 (Monterey); 2 mention(s)
sutil,1792,Bancroft HoC I narrates this vessel in 1792 (Monterey); 1 mention(s)
sutil,1794,Bancroft HoC I narrates this vessel in 1794 (San Francisco); 2 mention(s)
tagle,1814,Bancroft HoC II narrates this vessel in 1814; 7 mention(s)
triton,1825,Bancroft HoC II narrates this vessel in 1825; 1 mention(s)
valdes,1794,Bancroft HoC I narrates this vessel in 1794 (Monterey); 1 mention(s)
volga,1822,"Bancroft HoC II narrates this vessel in 1822 (Monterey, San Francisco); 2 mention(s)"
volunteer,1830,Bancroft HoC II narrates this vessel in 1830; 1 mention(s)
volunteer,1831,Bancroft HoC II narrates this vessel in 1831; 1 mention(s)
vulture,1828,Bancroft HoC II narrates this vessel in 1828; 1 mention(s)
