visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,california,,1819,1819,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep] nocente Garcia in a brief narrative confirms the Alvarado version. So does Capt. Jose Fernandez, who arrived in California this same year ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1819)"", ""note"": ""nocente Garcia in a brief narrative confirms the Alvarado version. So does Capt. Jose Fernandez, who arrived in California this same year ju""}]",,draft
,california,,1824,1824,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep] 53. S. F., 1S53. Spencc (David), Historical Notes, 1824-49. JIS. Spencc (David), Letters of a Scotchman in California. MS Spence (David), ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1824)"", ""note"": ""53. S. F., 1S53. Spencc (David), Historical Notes, 1824-49. JIS. Spencc (David), Letters of a Scotchman in California. MS Spence (David), Li""}]",,draft
,edward,,1822,1822,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep] akluyt (Richard), The Principal Navigations. Lond., 1599- 1000. folio. 3 vols. ; cited as Hakluyt's Voy. Hale (Edward Everett), Early Maps","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1822)"", ""note"": ""akluyt (Richard), The Principal Navigations. Lond., 1599- 1000. folio. 3 vols. ; cited as Hakluyt's Voy. Hale (Edward Everett), Early Maps o""}]",,draft
,fernando,,1770,1770,year,Loreto,alta,,,,,port-call?,1,"[HoC sweep]  was a native of Anento in Aragon, and became a Franciscan at Zaragoza. 0£ his coming to America and to San Fernando col- lege I have foun","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1770)"", ""note"": "" was a native of Anento in Aragon, and became a Franciscan at Zaragoza. 0£ his coming to America and to San Fernando col- lege I have found ""}]",,draft
,fernando,,1780,1780,year,Santa Bárbara,alta,,,,,port-call?,1,"[HoC sweep] ce in Mexico. Viceroy Majorga at the request of General Croix, December 7, 1780, called on the college of San Fernando for six friars to s","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1780)"", ""note"": ""ce in Mexico. Viceroy Majorga at the request of General Croix, December 7, 1780, called on the college of San Fernando for six friars to ser""}]",,draft
,fernando,,1796,1796,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] ject was to establish a hacienda of the pious fund in Jacopin Valley near San Diego, but the guardian of San Fernando pronounced the schem","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1796)"", ""note"": ""ject was to establish a hacienda of the pious fund in Jacopin Valley near San Diego, but the guardian of San Fernando pronounced the scheme ""}]",,draft
,fernando,,1797,1797,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep]  by Corporal Lisalde, with seven sol- diers and five Indians, escorting fathers Lasuen and -8 St Ferdinand -sras Fernando III., King of Sp","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1797)"", ""note"": "" by Corporal Lisalde, with seven sol- diers and five Indians, escorting fathers Lasuen and -8 St Ferdinand -sras Fernando III., King of Spai""}]",,draft
,fernando,,1798,1798,year,Santa Bárbara,alta,,,,,port-call?,1,"[HoC sweep] es, 46 horses, 16 yoke of oxen, 310 cattle, 508 sheep. Arch. Misiones, MS. , i. 202. The mission-books of San Fernando I examined at the m","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1798)"", ""note"": ""es, 46 horses, 16 yoke of oxen, 310 cattle, 508 sheep. Arch. Misiones, MS. , i. 202. The mission-books of San Fernando I examined at the mis""}]",,draft
,fernando,,1800,1800,year,Santa Bárbara,alta,,,,,port-call?,1,"[HoC sweep] arbara, Lib de ilisioii, MS., 30. In August 1795 he commanded the party exploring for the mission site of San Fernando. Sta Maria, Rei/isl","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1800)"", ""note"": ""arbara, Lib de ilisioii, MS., 30. In August 1795 he commanded the party exploring for the mission site of San Fernando. Sta Maria, Rei/islro""}]",,draft
,fernando,,1806,1806,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep]  of sacred Theology, Padre of the Pi'ovmce of the Holy Evangel of Mexico, and Guardian of the College of San Fernando of the same city — t","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1806)"", ""note"": "" of sacred Theology, Padre of the Pi'ovmce of the Holy Evangel of Mexico, and Guardian of the College of San Fernando of the same city — to ""}]",,draft
,fernando,,1807,1807,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep] 7, de- scribing the dedication of a new church in 1877, says the original chapel, at the corner of Market and Fernando streets, stood unti","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1807)"", ""note"": ""7, de- scribing the dedication of a new church in 1877, says the original chapel, at the corner of Market and Fernando streets, stood until ""}]",,draft
,fernando,,1810,1810,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] 490 in the south. The distribution of hemp shipped in 1810, was as follows: From S. Gabriel, 15,582 lbs.; San Fernando, 7,600 lbs.; Sta In","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1810)"", ""note"": ""490 in the south. The distribution of hemp shipped in 1810, was as follows: From S. Gabriel, 15,582 lbs.; San Fernando, 7,600 lbs.; Sta Int^""}]",,draft
,fernando,,1810,1810,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep] n August; and the consecration of two new mission churches, one at San Juan Caj^istrano, and the other at San Fernando. Two topics of this","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC II (narrative, 1810)"", ""note"": ""n August; and the consecration of two new mission churches, one at San Juan Caj^istrano, and the other at San Fernando. Two topics of this y""}]",,draft
,friend,,1794,1794,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep] ns to continue acting as governor until he should arrive at Monterey.'' Shortly after Borica assumed office his friend the viceroy, to who","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1794)"", ""note"": ""ns to continue acting as governor until he should arrive at Monterey.'' Shortly after Borica assumed office his friend the viceroy, to whom ""}]",,draft
,henry,,1786,1786,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep]  1S77. Peckham (R. P.), An Eventful Life. MS. Peirce (Hemy A.), Biography. San Francisco, ISSO. Peirce (Henry A.), Journals of Voj'acces, ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1786)"", ""note"": "" 1S77. Peckham (R. P.), An Eventful Life. MS. Peirce (Hemy A.), Biography. San Francisco, ISSO. Peirce (Henry A.), Journals of Voj'acces, 1S""}]",,draft
,june,,1769,1769,year,Loreto,alta,,,,,port-call?,1,"[HoC sweep] eed him in the governorship. I do not know the exact date of Aimona's appointment, but he arrived atLoreto in June 1769, and went back to ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1769)"", ""note"": ""eed him in the governorship. I do not know the exact date of Aimona's appointment, but he arrived atLoreto in June 1769, and went back to th""}]",,draft
,june,,1769,1769,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] y 1st. Fages was military chief of the sea branch of the expedition, and commandant on shore from May 1st to June 29th, thus being CaUfomi","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1769)"", ""note"": ""y 1st. Fages was military chief of the sea branch of the expedition, and commandant on shore from May 1st to June 29th, thus being CaUfomia'""}]",,draft
,june,,1770,1770,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep]  Francisco and the newly discovered inland bay had not Perez' orders required him to steer direct for Monterey. June 1st the governor, fri","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1770)"", ""note"": "" Francisco and the newly discovered inland bay had not Perez' orders required him to steer direct for Monterey. June 1st the governor, friar""}]",,draft
,june,,1772,1772,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] e president immediately announced the distribution of priests to their respec- tive missions,"" and on the 7th of June the six intended for","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1772)"", ""note"": ""e president immediately announced the distribution of priests to their respec- tive missions,\"" and on the 7th of June the six intended for t""}]",,draft
,june,,1773,1773,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] Tai/hr's Dkcon. and Found. , ii. 49. This Eepresentacion with that of April •22d was referred to the fiscal on June 10th. '"" Bucareli, Pro","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1773)"", ""note"": ""Tai/hr's Dkcon. and Found. , ii. 49. This Eepresentacion with that of April •22d was referred to the fiscal on June 10th. '\"" Bucareli, Provk""}]",,draft
