ship,name,entry,date_from,date_to,conf,anchorage,offshore
lelia byrd,Lelia Byrd,"Lelia Byrd, 1805",1805,1805,year,Santa Bárbara,False
lelia byrd,Lelia Byrd,"Lelia Byrd, 1805",1805,1805,year,Santa Catalina I.,False
lelia byrd,Lelia Byrd,"Lelia Byrd, 1805",1805,1805,year,San Pedro,False
lelia byrd,Lelia Byrd,"Lelia Byrd, 1805",1805,1805,year,San Diego,True
lelia byrd,Lelia Byrd,"Lelia Byrd, 1805",1805-06-09,1805-06-09,exact,Santa Catalina I.,False
lelia byrd,Lelia Byrd,"Lelia Byrd, 1805",1805,1805,year,San Pedro,False
lelia byrd,Lelia Byrd,"Lelia Byrd, 1805",1805,1805,year,Santa Bárbara,True
lelia byrd,Lelia Byrd,"Lelia Byrd, 1805",1805,1805,year,San Diego,True
princesa,Princesa,"Princesa, 1805",1805,1805,year,San Blas,False
princesa,Princesa,"Princesa, 1805",1805,1805,year,Monterey,False
princesa,Princesa,"Princesa, 1805",1805,1805,year,San Francisco,False
princesa,Princesa,"Princesa, 1805",1805,1805,year,San Blas,False
liclipse,Liclipse,"Liclipse, 1806",1806,1806,year,San Juan Capistrano,True
liclipse,Liclipse,"Liclipse, 1806",1806,1806,year,San Diego,False
liclipse,Liclipse,"Liclipse, 1806",1806,1806,year,San Quintín,False
o’cain,O’Cain,"O’Cain, 1806",1806,1806,year,Trinidad,False
o’cain,O’Cain,"O’Cain, 1806",1806,1806,year,San Quintín,False
peacock,Peacock,"Peacock, 1806",1806,1806,year,San Juan Capistrano,True
peacock,Peacock,"Peacock, 1806",1806,1806,year,San Diego,True
tamana,Tamana,"Tamana, 1806",1806,1806,year,San Luis Obispo,False
tamana,Tamana,"Tamana, 1806",1806,1806,year,San Pedro,False
mercury,Mercury,"Mercury, 1806-1807",1806,1806,year,San Luis Obispo,False
mercury,Mercury,"Mercury, 1806-1807",1806,1806,year,Santa Bárbara,False
mercury,Mercury,"Mercury, 1806-1807",1806,1806,year,San Juan Capistrano,False
actwwo,Actwwo,"Actwwo, 1807",1807,1807,year,San Blas,False
actwwo,Actwwo,"Actwwo, 1807",1807,1807,year,Monterey,False
actwwo,Actwwo,"Actwwo, 1807",1807,1807,year,San Francisco,False
actwwo,Actwwo,"Actwwo, 1807",1807-07-01,1807-07-01,exact,Santa Bárbara,False
actwwo,Actwwo,"Actwwo, 1807",1807,1807,year,San Diego,False
actwwo,Actwwo,"Actwwo, 1807",1807,1807,year,San Blas,False
o’cain,O’Cain,"O’Cain, 1807",1807,1807,year,San Pedro,False
o’cain,O’Cain,"O’Cain, 1807",1807,1807,year,Santa Catalina I.,False
o’cain,O’Cain,"O’Cain, 1807",1807,1807,year,San Quintín,False
o’cain,O’Cain,"O’Cain, 1807",1807,1807,year,San Quintín,False
peacock,Peacock,"Peacock, 1807",1807,1807,year,San Quintín,False
peacock,Peacock,"Peacock, 1807",1807,1807,year,San Blas,False
peacock,Peacock,"Peacock, 1807",1807,1807,year,Monterey,False
peacock,Peacock,"Peacock, 1807",1807-07-01,1807-07-01,exact,Santa Bárbara,False
peacock,Peacock,"Peacock, 1807",1807,1807,year,San Diego,False
peacock,Peacock,"Peacock, 1807",1807,1807,year,Monterey,False
peacock,Peacock,"Peacock, 1807",1807,1807,year,Monterey,False
peacock,Peacock,"Peacock, 1807",1807,1807,year,San Blas,False
tamana,Tamana,"Tamana, 1807",1807,1807,year,Santa Catalina I.,False
kodiak,Kodiak,"Kodiak, 1808-1809",1808,1808,year,Trinidad,False
kodiak,Kodiak,"Kodiak, 1808-1809",1809-08-18,1809-08-18,exact,Bodega,False
mercury,Mercury,"Mercury, 1808-1809",1808,1808,year,Bodega,False
mercury,Mercury,"Mercury, 1808-1809",1808,1808,year,San Francisco,False
mercury,Mercury,"Mercury, 1808-1809",1808,1808,year,Trinidad,False
