ship_id,year,port,n_mentions,any_fulldate,status,hv,first_pos,snippet,triage,why
activo,1802,San Diego,1,True,attach,2,35297,"ies in aid of the wai-. A)xh. .Sta B., MS., V. 68-73; vi. 298-303. The Spanish vessels of the year were the Activo, under Alf^rez Manuel de Murga, which arrived at San Fi-ancisco July 23. Prov. St. Pap., MS., xviii. 227;",auto-attach,ship+year already in registry; HoC corroboration
activo,1803,,1,False,attach,2,76743,"rreyes, Iiistrucciones, 181. DEPARTURE OF THE VOLUNTEERS. 19 company sailed in the autumn on the Princcsa and Activo, the transports of the year; tlie rest probably departed the next year.^^ Thus close the annals of 1803",auto-attach,ship+year already in registry; HoC corroboration
activo,1803,San Diego,1,True,attach,2,77451," and the other to the south with the memorias seems to have been abandoned in these years. The Priiicesa and Activo in company arrived at ISIonterey in Sept., were at Sta Bdrbara from Sept. 29th to Oct. 22d, and subseque",auto-attach,ship+year already in registry; HoC corroboration
activo,1807,,1,False,new-candidate,2,253886," by no means an exciting one. The Princesa, armed as a cruiser, returned to California to convoy the transport Activo, and to fyuard the coast asrainst foreio^n craft,^ but no foe appeared, and there is no naval battle t",weak-new,"known ship, undated narrative mention"
activo,1810,Monterey,1,False,new-candidate,2,290428," Winship at the time of his last visit in 1812.^^ The supplies for 1810 were brought by the Prin- cesa and Activo, arriving at Monterey on July and leaving the coast late in the autumn. The schooner Mosca also touched at",weak-new,"known ship, undated narrative mention"
aguila,1797,,1,False,new-candidate,1,2321052,"ade, most of them on the list of 1797, are as follows: Francisco Aharez, Javier Alviso, Francisco Alviso, Jos6 Aguila, Francisco Arias, Justo Altamirano, Jose Avila, Nicoliis Ben-eyesa, Pedro Bojorques, Jos6 Maria Benavi",weak-new,"known ship, undated narrative mention"
aguila,1800,,3,False,new-candidate,1,2371117," Acosta, Jos6, Cat. vol.* Alvarado, Francisco Javier, soldier.' Aguiar, Francisco.' Alvarado, Juan B., child.' Aguila, Jose, settler.* Alvarado, Fran. Ma. D. C, chUd.' Aguila, Juan Jos^, child.* Alvarado, Josc5 Vicente, ",weak-new,"known ship, undated narrative mention"
aguila,1808,,2,False,new-candidate,2,2131062,"io, iii. 087-8; and in '44 grantee of the Canada de Nogales rancho. iv. 634. In a Mont, padron of '36 Jos,6 Aguila is described as a painter, 50 years of age, native of Cclaya, married to Maria Fran. Garcia, a native of ",weak-new,"known ship, undated narrative mention"
aguila,1825,,1,False,new-candidate,2,2185416,"1847, on the Pion. Soc. records as a deceased member, from N. Y. Angulo (Pedro), 1825, com. of the Span. Aguila. iii. 27, 146. Anselin (Alfred), 1843, French surgeon of the batallon fijo '43-5. iv. 399; at S. F. in '44. ",weak-new,"known ship, undated narrative mention"
aguila,1827,,2,True,new-candidate,2,1815723,". J. Estudillo, Francisco Castro, Francisco Sanchez, Fedi-o del Castillo, Francisco Higuera, Ignacio Peralta, Jos6 Aguila, Ignacio Alviso, Francisco Soto, Francisco Haro, and Petronilo Rios; Jan. 4th, the 12 met, organiz",strong-new,"known ship, dated HoC event, no existing row that year"
al-,1817,Sitka,1,True,new-candidate,2,819980," above Santa Barbara, coming from Sitka. One was the schooner Lyclia, Captain Henry Gyzelaar, and the other the ship Al- hatross, Captain Wilham Smith, the latter commander and probably his vessel being known of old to t",review-new-ship,unknown ship w/ full date — FP-screen then review
al-,1848,,1,False,new-candidate,2,2353488," lieut 1st U.S. infantry; colonel in '78; living in N.Y. '70. Brewster, 1820, said to have been master of the whaler Al- vins (?). B. (F. M.), 1848, on the Julian. Brian (Henry), 1847, Co. F, Sd U.S. artill. (v. 518). Br",noise,"unknown ship, undated mention"
albatross,1797,San Francisco,1,False,new-candidate,1,2280976,"al. The name is that applied by Califomians and Mexicans to the pelican, though more properly belonging to the albatross. MAP OF SAN FRANCISCO. Map of San FKANt-isco District. 704 LOCAL EVEXTS— SAK ERANCISCO DISTRICT. wa",weak-new,"known ship, undated narrative mention"
albatross,1805,Santa Bárbara,1,False,new-candidate,2,362772," supplies at Santa Barbara in 1803; but though the Channel islands were visited by the Lelia Byrcl, OCain, and Albatross in 1805, 1807, and 1810, respectively, it does not appear that any of these vessels ventured within",weak-new,"known ship, undated narrative mention"
albatross,1806,San Francisco,1,False,new-candidate,2,392122," The visits to San Francisco of Brown and Rowan in 1803 and 1804, that of Rezdnof in 1806, and those of the Albatross and other vessels to the Farallones in 1810, have already been mentioned and require no further notice",weak-new,"known ship, undated narrative mention"
albatross,1807,,1,False,new-candidate,2,252802,"l, 167. ^* Tiklnneiief, Islor. Obosrank, i. 208. ^^ KhUbiiikof, Zapiski, 9, 10; Barunof, SMzneopissanie, 129-30; Albatross' Lorj-boolc, MS. CHAPTER V. CHEOXOLOGICAL NARRATIVE OF EVENTS. 1807-1810. Pkecautions — A Spanish",weak-new,"known ship, undated narrative mention"
albatross,1809,,2,False,new-candidate,2,282906,"n, the Isabella, and the Mercury. Earty in December communication was had with the party on the Fara- . '''' Albatross, Log-book of a Vorjarje to the Xorthu-est Coast in 1809-12, Icept by Wm. Gale, MS. The substance ouly",weak-new,"known ship, undated narrative mention"
albatross,1809,San Francisco,2,False,new-candidate,1,47396,"rancisco, 1878. atlas folio, nisi. Cal., Vor.. I. 3 (''^f) xxvi AUTHORITIES QUOTED. Albany (Or. ) Register. Albatross (The ship), Log of a Voyage to the N. W. Coast, 1809-12. MS. Albatross and Lydia, Comunicaciones relat",weak-new,"known ship, undated narrative mention"
albatross,1810,,6,True,new-candidate,2,253468,"s in 1810 — Moraga's Battle at Suisun — Revolt AT San Gabriel — Otter-hunters — The Winship Brothers — The 'O'Cain,' 'Albatross,' 'Isabella,' 'Mercury,' 'Catherine,' 'Ame- thyst,' AND 'Charon,' on the Coast, 1810-12- Smi",auto-attach,ship+year already in registry; HoC corroboration
albatross,1810,Bodega,1,False,new-candidate,2,2312508,"tness to a doc. at Sonoma '47. 'Bob.' or Jnan Cristobal, 1810, the pioneer negro, left by Capt. Smith of the Albatross, ii. 248, 277, 393. 'Bob,' Irish servant of Colton at IMont. '48, M""ho made his fortune in the mines.",auto-attach,ship+year already in registry; HoC corroboration
albatross,1810,San Diego,1,False,new-candidate,2,4377,"bles in 1810— Moraga's Battle at Suisun — Revolt at San Gabriel — Otter-hunters — The Winship Brothers — The O'Cain, Albatross, Isabella, Mercury, Catherine, Amethyst, and Charon, on the Coast, 1810-12— Smith and Gale- A",auto-attach,ship+year already in registry; HoC corroboration
albatross,1810,San Francisco,1,False,new-candidate,2,888336,"is bidarka fleet in the bay. Kuskof's visit is not other- wise mentioned by the Spaniards. The log-book of the Albatross does not mention any visit of Winship's men to San Francisco Bay, but it is not un- likely that the",auto-attach,ship+year already in registry; HoC corroboration
albatross,1810,Santa Bárbara,2,False,new-candidate,2,282143,"one belonging to the Mercury and the other to the Isabella. Seven men were left there in charge of Gale. The Albatross continued southward; touched at the Santa Barbara Islands, where were found few seals, but many sea-o",auto-attach,ship+year already in registry; HoC corroboration
albatross,1811,,6,True,new-candidate,2,280918,"ov. St. Pap., MS., xix. 327-8. WIXSHIP AND GALE. 93 brothers, William Davis, and George Eyres on the OCaln, Albatross, Isabella, and Mercury. The log- book of the Albatross, Captain Nathan Winship, pre- sents many intere",strong-new,"known ship, dated HoC event, no existing row that year"
albatross,1811,Bodega,1,False,new-candidate,2,797094," of certain American vessels with bidarka-fleets hunting otters under Rus- sian contracts — of the Winships in the Albatross and O'Cain, Davis in the Isabella, Meek in the Afnethyst, Blanchard in the Catherine, and Whitt",weak-new,"known ship, undated narrative mention"
albatross,1811,San Francisco,1,False,new-candidate,2,886788,"here hunting was carried on for some months in company with two other parties of Aleuts from the Isabella and Albatross,^ with a result of 1,200 otter-skins for Kuskof's party. The Russians say that though the Spaniards ",weak-new,"known ship, undated narrative mention"
albatross,1812,,1,False,new-candidate,2,291373," in the great revolution in its first year.^* 130,000 seals besides many otter. He took them to China in the Albatross, obtained $2.50 for seal-skins and $30 or $4-0 for otter; loaded two shijis with tea and silk, and so",weak-new,"known ship, undated narrative mention"
albatross,1812,Bodega,1,False,new-candidate,2,594285,"limited contraband operations of the otter-hunters.. lEyres in the Mercury was on the coast, and Winship in the Albatross was at Drake Bay and the Fara- llones, as elsewhere recorded; but not a single vessel, national or",weak-new,"known ship, undated narrative mention"
albatross,1812,San Diego,1,False,new-candidate,2,291684,"es of the war of 1812. Discov. cdhI Founders, No. 21, i. We have seen that Wm. Smith was first mate of the Albatross, and we shall hear of him again, for he afterward lived and died in California. ^^ See reference to Rus",weak-new,"known ship, undated narrative mention"
albatross,1812,San Pedro,1,False,new-candidate,2,796297,ccoon '—Gilroy — The War of 1812 — Restrictions— The 'Columbia' — Eliot de Castro and the 'Ilmen' — The 'Lydia' and 'Albatross' — Thomas Doak — Kotzebue's Visit— Chamisso and Choris — A Supply-ship at Last — The Lima Tra,weak-new,"known ship, undated narrative mention"
albatross,1815,Santa Bárbara,1,True,new-candidate,2,1086279,ut the fate of the native islanders; the arrival of the ^^a^a in 1815; the exciting episode of the Lydia and Albatross with the capture of Gyzelaar and Smith in the same year; the coming of Wilcox and the Traveler in 181,strong-new,"known ship, dated HoC event, no existing row that year"
albatross,1816,,3,False,attach,2,821321,". of this vohime. The author of Boston in the Northiccst, MS., 73, well acquainted with the subject, says the Albatross never came back to the Pacific after Winsliip left her at Boston in 1816. She may therefore have tak",auto-attach,ship+year already in registry; HoC corroboration
albatross,1816,Refugio,2,True,attach,2,632109," ritorial encroachment, and not at all to the more vital one of commerce. Two American vessels, the Lijdla and Albatross, were at El Refugio at the beginning of the year, the former being captured by the Span- iards; but",auto-attach,ship+year already in registry; HoC corroboration
albatross,1819,,3,True,new-candidate,2,829167,"ee, lived long in the country. We must not forget the negro Bob and tlie two Kanakas who re- mained from the Albatross. Prov. St. Pap., MS., xx. 117. On August 16, 1819, Bob was baptized as Juan Cristobal by Hipoll. Sta ",strong-new,"known ship, dated HoC event, no existing row that year"
albatross,1824,Bodega,1,False,new-candidate,1,419884," ments from military commandants and other subordi- nate California officers;^* and twenty-seven are Mex- s^Abella, Albatross, Altimira, Amador, Anza, Aral), Arteaga, Bodega, Breen, Cabot, Cauizares, Castillo, Clyman, Co",weak-new,"known ship, undated narrative mention"
alert,1791,,1,False,new-candidate,1,1656807,"or, the occasional flight of a neophyte, or the loss of an animal. To keep the soldiers of the guard on the alert they were once ordered to hunt bears for target practice.^' The neo- phytes numbered 84 at the end of the ",weak-new,"known ship, undated narrative mention"
alert,1816,Santa Bárbara,1,False,new-candidate,2,657565," coast as fast as swift riders could carry it, and all the troops at every point were ordered to be on the alert. The strange craft next appeared off the Ortega ranch and lauded some men, who while plundering the ranch w",weak-new,"known ship, undated narrative mention"
alert,1822,Monterey,1,True,new-candidate,2,1430864," at S. Diego Dec-Jan. Ontario, Alex. Bunker; Almira, T. Daggett; Gideon, Obed Clark; Ploiv- boy, W. Chad wick; Alert, C. Roy — Nantucket whalers, at S. F. Oct. 15th. Hawaii, English brig; at S. F. in Nov. Volga, Russian ",strong-new,"known ship, dated HoC event, no existing row that year"
alert,1822,Sitka,1,False,new-candidate,2,1484694,"t. and November, paying $384. Almira, Timothy Daggett, or Doggett; Gideon, Obed Clark; Plowhoy (and perhaps the Alert, Charles Ray, or Rey, or Roy); and the Massachusetts, Catharte(?), whalers at S. F. in Oct. to refit. ",weak-new,"known ship, undated narrative mention"
alert,1836,,1,False,new-candidate,2,2701608," Vcmdalia '44-7; owner of S. F. lot. iv. .569; v. 580. E. (.John H.), 1836, at Mont., prob. as cleA on the Alert, iv. 118, 141; and again in '41-4 as sup. of the Tm><o. iv. 460, 569. He is said to have been much less pop",weak-new,"known ship, undated narrative mention"
alert,1848,,1,False,new-candidate,2,2335725,"as, but came back in '41 after a visit to N.Y. to urge his claim for damages, iv. IS, 31, 33, 119. On the Alert at Sta B. '42; perhaps at N. Helv. '47. B. (Samuel), 1848, overl. immig. with AUsopp, whose partner he was i",weak-new,"known ship, undated narrative mention"
alex-,1804,San Juan Capistrano,1,False,new-candidate,2,85704," the arrival at San Buenaventura on July .5th, and at San Juan Capistrano, seeking provisions, of the American ship Alex- ander, Capt. \Vm. Shaler, 8 guns and 24 men. This must be an error of the Spaniards so far as the ",noise,"unknown ship, undated mention"
alexander,1769,San Diego,1,False,new-candidate,2,23836,"/ Captain Shaler— Cleveland's Narrative— A Battle at San Diego — The Fur-trade — Adventures of John Brown of the ' Alexander'^The 'Hazard,' James Rowan— Departure of THE Catalan Volunteers. In the preceding volume the an",weak-new,"known ship, undated narrative mention"
alexander,1786,,1,False,new-candidate,1,47913,". Alcedo (Antonio de), Diccionario Geogrdfico Hist6rico de las Indias Occiden- tales. Madrid, 1786-9. 5 vols. Alexander (B. S. ), 6. H. Mendell, and G. Davidson, Report on Irrigation of San Joaquin. Washington, 1874. Ale",weak-new,"known ship, undated narrative mention"
alexander,1797,,1,True,new-candidate,2,65736,"any of the king's dominions. Prov. St. Pap., MS., xviii. 243. The custom-house records of Boston show that the Alexander was first cleared for the N. W. coasts in 1797 under Capt. Dodge. Boston in the N. W., MS., 76. 22 ",strong-new,"known ship, dated HoC event, no existing row that year"
alexander,1800,,1,False,new-candidate,1,273533,"n Min^ralogique des R(;gions Mexicaines. Paris, 18C9. Tarbell (Frank), Victoria Life and Travels. MS. Taylor (Alexander S.), Articles in California Farmer; Bibliografa California. Scrap-book from Sac. Union; Byron, !N""cl",weak-new,"known ship, undated narrative mention"
alexander,1802,,3,True,new-candidate,2,65459,"ghton, Spanish consul for 'some of the New England States' at Boston, in favor of the fragata expedi- clonarla Alexander, Capt. Juan Brown, owners, Henrique Bassy & Co. and Jose Taylor of Boston. Aid to be rendei-ed shou",strong-new,"known ship, dated HoC event, no existing row that year"
alexander,1803,,2,False,attach,2,68671,"rew of sixteen men for at least eight months, and ordering him to sail forthwith, as he did next day.^'' The Alexander seems to have proceeded directly to Mon- tere}', where better luck awaited her, since she obtained li",auto-attach,ship+year already in registry; HoC corroboration
alexander,1803,Monterey,1,True,attach,2,433932,"sed by Carrillo of having insulted him pub- licly in the plaza, and bawled loudly for justice. ^^ Brown in the Alexander, who touched at Monterey in August 1803, is the only foreigner known to have braved the terrors of ",auto-attach,ship+year already in registry; HoC corroboration
alexander,1803,San Diego,1,False,attach,2,63590,"., ii. 27. In Prov. Ber., MS., ix. 20-1, Capt. Shaler is named. No other name given by the Spaniards. THE 'ALEXANDER.' 15 and that the proceeds seem to have been divided among the party that effected the capture. ^^ As w",auto-attach,ship+year already in registry; HoC corroboration
alexander,1803,San Juan Capistrano,1,True,attach,2,327045,"ch of provisions and opportunities for barter; but few details of their visits are known. Captain Brown in the Alexander touched here in the spring of 1803, and in the autumn Powan in the Hazard; in July 1804 there appea",auto-attach,ship+year already in registry; HoC corroboration
alexander,1804,,1,True,attach,2,70615," in the night without paying her bills.-^ The vessel alluded to as having entered San Fran- cisco Bay with the Alexander on August 11th, is called by the Spaniards the Aser, Thomas Raben. I suppose her to have been the H",auto-attach,ship+year already in registry; HoC corroboration
alexander,1804,San Diego,1,True,attach,2,86080,"revious troubles at San Diego; but he would hardly have chosen so deservedly unpopular a name as that of the 'Alexander.' See Prov. Bee, MS., xi. 102; xii. 30. Sept. 30, 1804, Castro to governor, thinks the vessel at San",auto-attach,ship+year already in registry; HoC corroboration
alexander,1805,,1,True,new-candidate,2,201789,"A Voyaye round the World, hi the years 1S03, I8O4, 1805, and ISOG; performed by order of His Imperial Majesty Alexander the First, Emperor of Russia, in the ship Neva, by Urey Lisiansky, Captain in the Rus- sian Navy. Lo",strong-new,"known ship, dated HoC event, no existing row that year"
alexander,1806,,1,False,attach,2,200077,"Krusenstern, Voyage round the World, in the years 1803, 1804, 1805, and 1806, by order of His Imperial Majesty Alexander the First, on board the ships Nadeshda and Neva, under the command of Captain A. J. Von Krusenstern",auto-attach,ship+year already in registry; HoC corroboration
alexander,1806,San Francisco,1,False,attach,2,883255,"ussian American Company under tlie immediate protection of his Majesty the emperor, autocrat of all the Russias, Alexander I.' ' You know the good understanding and friendship that have always ex- isted between the two g",auto-attach,ship+year already in registry; HoC corroboration
alexander,1811,Sitka,1,False,new-candidate,2,885259,"of both parties. ""With this view we have ordered the Governor of the colonies, the Counsellor and Chevalier D. Alexander Baranof, resident in the island of Kadiak, lately Sitka, to send a ship with some merchandise under",weak-new,"known ship, undated narrative mention"
alexander,1812,Bodega,1,True,new-candidate,2,894916,"shed under a special FOIIf^DING OF ROSS. 299 August 30th of the Russian calendar,^ the 'name-day' of Emperor Alexander, the estabhshment was for- mally dedicated with great festivities and named Ross, from the root of th",strong-new,"known ship, dated HoC event, no existing row that year"
alexander,1813,San Francisco,1,False,new-candidate,1,121119,"20. Deer Lodge (Mont.), Independent. Degroot (Henry), The Donner Party. In Overland Monthly, v. 38. Del Mar (Alexander), A History of the Precious Metals. London, 1880. Delano (Amasa), The Central Pacific Railroad, or '4",weak-new,"known ship, undated narrative mention"
alexander,1827,,2,False,new-candidate,1,54016,"London, 1865. Anaheim, Gazette, Re\'iew, etc. Anaheim, Its People and its Products. New York, 1869. Anderson (Alexander C), Northwest Coast History. MS. Anderson (Alexander D. ), The Silver and Gold of the Southwest, etc",weak-new,"known ship, undated narrative mention"
alexander,1832,,2,False,new-candidate,2,2139363,"ed. i. 490. Alered (Jesus), 1846, resid. of S. Bernardino. Alexander, 1834, Engl, sailor in a Mont. list. Alexander (Cyrus), 1832, Amer. tanner born in Pcnn. 1805, but moving with his parents to 111. in 1810. In '31, or ",weak-new,"known ship, undated narrative mention"
alexander,1834,,1,False,new-candidate,2,2139307,"ponzoni (Flavio), 1791, alferez in Malaspina's exped. i. 490. Alered (Jesus), 1846, resid. of S. Bernardino. Alexander, 1834, Engl, sailor in a Mont. list. Alexander (Cyrus), 1832, Amer. tanner born in Pcnn. 1805, but mo",weak-new,"known ship, undated narrative mention"
alexander,1834,San Francisco,1,False,new-candidate,1,138309,"a Secularization. Monterrey, 9Agosto, 1834. Findla (James), Statement of Events in Early Days. MS. Findlay (Alexander G.), Directory for the Navigation of the Pacific Ocean. London, 1851; Light Houses in the World. Londo",weak-new,"known ship, undated narrative mention"
alexander,1835,,1,True,new-candidate,1,66283,"Banker's Magazine and Statistical Register. Baltimore, etc., 1846 et seq. Banks. See Institutions. BarAnof (Alexander), Shizneopissanie. St Petersburg, 1835. Barber (John W. ), and Henry Howe. History of Western States a",strong-new,"known ship, dated HoC event, no existing row that year"
alexander,1837,,1,False,new-candidate,2,2140633," was trouble about this marriage, which had to be rejieated by a priest at Sta Clara. During tlie flush times Alexander, tliough unlucky as a miner, became rich b}- the sale of rancho products and increase in the value o",weak-new,"known ship, undated narrative mention"
alexander,1840,,1,False,new-candidate,2,2268863,"and working a while in the Sta Clara redwoods; but about '43 settled on a Russ. River rancho bought of Cyrus Alexander (?); joined the Bears in '46, being apparently with Ford at Olompali; went south with Fre- mont, bein",weak-new,"known ship, undated narrative mention"
alexander,1841,,2,False,new-candidate,2,2141541,"7, 074. His portrait is given in the Sonoma Co. Hist., 91. A MS. in my collection — LiJ'e and Thnes of Cyrus Alexander, by his nephew Charles Alex- ander— contains many details. Alexander (David W.), 1841, Irish trader f",weak-new,"known ship, undated narrative mention"
alexander,1842,,1,False,new-candidate,2,2135285,". after 1854. Ment. in iii. 620, 637, 659, 660, 727; iv. 12, 61, 100, 104, 332, 621, 635; v. 587, AGUIRRE— ALEXANDER. 689 GIO. Aguirro (Juan B.), 1/75, Span, mate and master of different transport ships on the coast in 1",weak-new,"known ship, undated narrative mention"
alexander,1844,Monterey,1,False,new-candidate,1,201750,"ndon, 1858. 2 vols. MoUhausen (Baldwin), Tagebuch einer Reise vom Mississippi, etc. Leipzig, 185S. 4to. Mone (Alexander), A Pioneer of 1S47. MS. Monitor, Alpine Miner. Montanus (Arnoldus), Die Nieuwe en Onbekande WeerelJ",weak-new,"known ship, undated narrative mention"
alexander,1848,,1,False,new-candidate,2,2142338,". Still livincr, '85, in the vicinity 01 Los Ang. Mentioned in iv. 278-9; v. 314, 441, 572, 575, 626, 634-5. Alexander (G.), 1848, pass, from Honolulu. A. (Horace M.), 1S47, Co. B, Morm. Bat. (v. 469-98). Alexy (John), 1",weak-new,"known ship, undated narrative mention"
alexander,1849,,1,False,new-candidate,1,48041," Alexander (B. S. ), 6. H. Mendell, and G. Davidson, Report on Irrigation of San Joaquin. Washington, 1874. Alexander (J. H. ), Memoir on the Routes of Communication between Atlantic and Pacific. Washington, 1849. Alger ",weak-new,"known ship, undated narrative mention"
alexander,1850,,1,False,new-candidate,1,45663,"ss the Plains in 1S50. New Albany, 1850. Abbott (John S. C), Christopher Carson. New York, 1876. Abell (Alexander), Copy of agreement on behalf of U. S. in relation to island of Santa Cruz [3-2d Cong., 1st Sess., Sen. Ex",weak-new,"known ship, undated narrative mention"
alexander,1850,Monterey,1,True,new-candidate,1,140753," Foote (H. S. ), Speech on Admission of California in U. S. Senate, Aug. 1, 1850. Washington, 1850. Foi-bes (.Alexander), California, A Histoi-y of. London, 1839. Forbes (James A.), Letters, 1833-^8. MS. Ford (Henry L. )",strong-new,"known ship, dated HoC event, no existing row that year"
andes,1827,,1,True,new-candidate,2,1872439,"hich only a few exist — for November 1827: balance from Oct., $777. Anchorage of two vessels, $20; ton- nage on Andes, $430; duties from Franklin, $299; internac'wn duty on butter, ^19; loans, $954; cattle from rancho na",review-new-ship,unknown ship w/ full date — FP-screen then review
antonio,1767,,1,True,new-candidate,1,1600740,"all's Hist. S. Josi, 418-20; Levelt's Scrap Booh. The date has been incorrectly given as May 16th. *- Joseph Antonio de Jesus Maria de Murguia was born Dec. 10, 1715, at Domayguia, Alava, Spain. He came to America as a l",strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1768,San Diego,1,False,new-candidate,1,2165630," Two runaway neophytes from San Gabriel biought in by the Pdpagos to Tucson. Prov. Ri'c, MS., iv. 58. ""Pablo Antonio Cota was bom in 1744, and enlisted in 1768, coming to California probably in 1769, and certainly before",weak-new,"known ship, undated narrative mention"
antonio,1769,,27,True,new-candidate,1,629322," be forever broken. The 11th of April 1769^ a Spanish vessel appears and anchors in the bay. It is tho San Antonio some- times called El Principe, and is commanded by Juan 'Crespi, in Palou, Not, ii. 149, gives the date ",strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1769,Loreto,3,False,new-candidate,1,614409,"y northward before a fair wind.^^ Wliile the president returned to Loreto Galvez gave his attention to the San Antonio, which was to follow the San Cdrlos. Touching at La Paz the 15th of Januarjr, she arrived at Cape San",weak-new,"known ship, undated narrative mention"
antonio,1769,Monterey,3,True,new-candidate,1,602711,"ilure lessened. Available for the sea-goingdivisionsweretwosmallvessels,thej9a(7«e6o^es, or snows, San Carlos and San Antonio, under the com- mand of captains Vicente Vila and Juan Perez, expe- rienced loilotos of the ro",strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1769,San Francisco,1,False,new-candidate,1,289473," MS. Vila (Vicente), Instrucciones para el Viage de 1769 d California. MS. Villa Soilor y Sanchez (.Jose Antonio), Theatre Americano. Mex., 1746. 2 vols. Villavicencio (Jos6 JMaria), Cartas. MS. Vioget (J. J.), Letters o",weak-new,"known ship, undated narrative mention"
antonio,1770,,2,False,new-candidate,1,773645,"y tilt' natives; and that subsequently they refused toeatcheese believing it to be the biuins uf dead men. San Antonio de Piidua was born in Lisbon in 1195, died at Pddua in 1231, and was canonized in 1232. He was a famo",weak-new,"known ship, undated narrative mention"
antonio,1770,Loreto,1,True,new-candidate,1,2187073,", 12, 14, 17, 19, 27, 50; Loreto, Lib. Miti'on. MS., 19S; Taylor s Discovererx and Founders, ii. No. 27. '■- Antonio Paterna was a native of Seville, and served 20 yeara in the Sierra Gorda missions before coming to Cali",strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1770,Monterey,6,True,new-candidate,1,21777,— Coming of Portold and Junipero Sen'a — Reunion of the Four Expeditions — Thanksgiving to Saint Joseph — The 'San Antonio' Sent to San Bias — Portold Sets out for Monterey — Founding of Sau Diego Mis- sion— A Battle wit,strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1770,San Diego,4,True,new-candidate,1,21248,"s 110 CHAPTER V. OCCUPATION OF SAN DIEGO — EXPEDITIONS Br SEA AND LAND. 17G9. Vo}-age of Perez in the 'San Antonio' — Arrival in San Diego Bay — ^A Miracle — Discovery of Santa Cruz Island — ""Waiting for the Capi- tana —",strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1770,San Francisco,1,False,new-candidate,1,789066," Mexico to plead for reforms before Viceroy Bucareli, who had succeeded Croix in the preceding autumn. The San Antonio on her last trip had brought orders from the viceroy to Fages, requiring him to explore by sea or lan",weak-new,"known ship, undated narrative mention"
antonio,1771,,3,True,new-candidate,1,771248," or Sextapay according to Taylor, note on the fly- leaf of Ciieata, Vocabulario, MS. ^^Palou, Vida, 122. '^0 S.Antonio, Lib. de Mision.MS., 1; Prov. St.Pap.,'MS.,i. 112-15; Palou, ]\!'ot., ii. 2-1-5, tells us of an old w",strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1771,Monterey,8,True,new-candidate,1,23059,heartened Governor — California to be Aban- doned— Rivera's Trip to the South— Prayer Answered— Arrival of the 'San Antonio' — Discovery of Monterey — In Camp on Carmelo Bay — Founding of the Presidio and Mission of San ,strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1771,San Diego,8,True,new-candidate,1,766541,"friars. The five new missions proposed, in addition to San Buenaventura, were San Gabriel, San Luis Obispo, San Antonio, 'spalou, Vida, 104-6, says it was for want of soldiers, because Rivera did not come upas expected; ",strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1771,San Francisco,1,False,new-candidate,1,912289,"ez and the viceroy on hearing of PortoM's near approach to San Francisco had ordered the cap- tain of the San Antonio, when she brought ten new friars to California in 1771, in case she should reach San Francisco first, ",weak-new,"known ship, undated narrative mention"
antonio,1771,Trinidad,1,False,new-candidate,2,2580644," at Los Ang. '46. C. (TomAs), sirv. at S.F. 1777. i. 297. C. (Trinidad), convict from Mex. '29- 33. Cruzado (Antonio), 1771, Span, friar who served at S. Gabriel for 33 years and died in 1804. Biog. ii. 113; ment. i. 173",weak-new,"known ship, undated narrative mention"
antonio,1772,,3,True,new-candidate,1,767546,"ly years is not known. The first burial was on the day of founding June 3d, when Alejo Nino one of the San Antonio's crew was buried at the foot of the cross. According to Paloti, A^o<., i. 451, he was a calker; the miss",strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1772,Monterey,3,False,new-candidate,1,798831,"spi south, and with him Fages sent an escort and some flour; but food was soon exhausted at Monterey and San Antonio, and, except for a very small quantity of vegetables and milk, the Spaniards were almost wholly depende",weak-new,"known ship, undated narrative mention"
antonio,1772,San Diego,3,True,new-candidate,1,23473, — Palou's Memorial — Mission AVork in the North — Arrival of the New Padres — Stations Assigned — Founding of San .Antonio — Transfer of San Carlos to Carmelo Bay — Events at San Diego— Desertions — Re- tirement of Parr,strong-new,"known ship, dated HoC event, no existing row that year"
antonio,1772,San Francisco,1,False,new-candidate,1,1580109," reputation of a zealous and suc- cessful missionary. S. Luis Obispo, Lib. de Mision, MS., 38; autograph in S. Antonio, Doc. Sueltos, MS., 4. 470 LOCAL EVENTS AND STATISTICS. for a few months, but am unable to completely",weak-new,"known ship, undated narrative mention"
antonio,1773,,2,False,new-candidate,1,1262268,"ed extensively among the gentile ti-ibes, from his first coming to Sonora down to the time of his death. Juan Antonio Bai-reneche was born in Laca- zor, Navan-e, in 1749, and came when a child to Habana. He became a Fran",weak-new,"known ship, undated narrative mention"
