ship_id,year,port,n_mentions,any_fulldate,status,hv,first_pos,snippet,triage,why
sta barbara,1830,,1,False,new-candidate,2,1754040,"ancho, but this establishment had never regained its prospciity since Boucliard's visit of 1818. The armament at Sta Barbara in 1830 was seven guns, live iron and two brass, one of 8-pound calibre, five G-pounders, and o",weak-new,"known ship, undated narrative mention"
sta barbara,1836,Monterey,1,False,new-candidate,1,103161," (Felipe), Itinerario desde Sonera hasta Cab, 184.'.. :\IS. Castillo Negrete (Luis), Consejos al Comandante dc Sta barbara, 1836. MS. xl AUTHORITIES QUOTED. Castillo Kegvete (Luis), Escritos del Juez de Distrito. MS. Cas",weak-new,"known ship, undated narrative mention"
sta barbara,1836,San Francisco,1,False,new-candidate,2,1494341," would seem that it must be paid by both manufacturer and buyer. ** Dana and Moraga, Lista de Estrangeros en Sta Barbara, 1836, MS., ac- cording to which document both Hill and Robbins came on the Rover in 1823. It is po",weak-new,"known ship, undated narrative mention"
sta barbara,1837,Monterey,1,True,new-candidate,1,226470,"olonizacion de Nacionales, 1825. In Junta de Fomento de Cal. Plan de Gobierno adoptado por la Diputacion en Sta Barbara, 1837. MS. Plan de Gobierno Provincial. Monterey, 1824. MS. Plan de ludependencia adoptada por la Di",strong-new,"known ship, dated HoC event, no existing row that year"
sultan,1817,Monterey,1,False,new-candidate,2,844121,"their way to or from Sitka, in addition to those already mentioned, we know nothing be3^ond the fact that the Sultan or Sultana touched at Monterey in August,*^ and the Atala or Atlas, Captain Kelly, from Boston, at Sant",weak-new,"known ship, undated narrative mention"
sutil,1775,Bodega,1,False,new-candidate,1,946107," Pacijico, ia Palou, Not., ii. 219-57; Maurelle, Journal of a Voyage in 1775; Palou, Vida, 162-5; Navarrete, in Sutil y Mex., F«iri7C, xciii.-ix.; Mofras, Explor., i. 107-9; Greenhorn's Or. and Cat., 117-20; Forsler's Hi",weak-new,"known ship, undated narrative mention"
sutil,1792,Monterey,1,False,attach,1,1689383,"led bj- their respective governments, and soon all the vessels, Spanish and English, sailed for the south. The Sutil and Mexicana had been sent from Aca- pulco in March under captains Dionisio Galiano and Cayetano Valdes",auto-attach,ship+year already in registry; HoC corroboration
sutil,1794,San Francisco,2,False,attach,1,36936,"ritime Affairs and Foreign Pielations — Northern Explorations — Spanish Policy — The Nootka Question — Voyage of the 'Sutil' and 'Mexicana' — Boundary Commission — Vancouver's First Visit — Re- ception at San Francisco, ",auto-attach,ship+year already in registry; HoC corroboration
tagle,1769,San Diego,1,False,new-candidate,2,23394,ain Hubeell — Spanish Vessels — President and Bishop — Pno- posED Route to New Mexico — Proposed Colony of Perez de Tagle — Death of Pedro de Alberni — Troubles of the Friars — No Change in Mission System — Chaplains — M,weak-new,"known ship, undated narrative mention"
tagle,1802,Monterey,1,False,new-candidate,2,31243,"lifornia was considered and allowed to drop out of sight. This was the proposition of Lieutenant Luis Perez de Tagle of Manila, who asked the king's license to bring a colony from the Philippines and establish it on the ",weak-new,"known ship, undated narrative mention"
