visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,sterling,Sterling,1846,1846,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1846-8] Sterling: usa ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""usa  (1846-8)""}]",,draft
,stonington,Stonington,1846,1847,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1846-8] Stonington: usa ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""usa  (1846-8)""}]",,draft
,suaanita,Suaanita,1848,1848,year,,alta,,,,,unlocated,1,[Bancroft list 1846-8] Suaanita:  ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""?  (1846-8)""}]",,draft
,suxden,Suxden,1848,1848,year,,alta,,,,,unlocated,1,[Bancroft list 1846-8] Suxden:  ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""?  (1846-8)""}]",,draft
,taaso,Taaso,1846,1848,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1846-8] Taaso: usa ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""usa  (1846-8)""}]",,draft
,toidon,Toidon,1847,1847,year,,alta,,,,,unlocated,1,[Bancroft list 1846-8] Toidon:  ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""?  (1846-8)""}]",,draft
,triad,Triad,1846,1847,year,,alta,,,,,unlocated,1,[Bancroft list 1846-8] Triad:  ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""?  (1846-8)""}]",,draft
,valiant,Valiant,1846,1846,year,Monterey,alta,,,,,port-call?,1,[Bancroft list 1846-8] Valiant:  Monterey,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""? at Monterey (1846-8)""}]",,draft
,vafidalia,Vafidalia,1846,1847,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1846-8] Vafidalia: usa ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""usa  (1846-8)""}]",,draft
,vesper,Vesper,1847,1847,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1846-8] Vesper: usa ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""usa  (1846-8)""}]",,draft
,wa'oe,Wa'oe,1848,1848,year,,alta,,,,,unlocated,1,[Bancroft list 1846-8] Wa'oe:  ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""?  (1846-8)""}]",,draft
,xylon,Xylon,1847,1848,year,,alta,usa,stated,,,unlocated,1,[Bancroft list 1846-8] Xylon: usa ,"[{""type"": ""hoc-list"", ""ref"": ""Bancroft, HoC V, 'List of vessels 1846-8'"", ""note"": ""usa  (1846-8)""}]",,draft
